,Data,transitivity,grauMedio,average_path_length,modularity,global_average_link_distance,eccentricity,eigenvector,coreness,links,oni,flag
383,1981-12-01,0.5641137887941553,23.21069182389937,46.78173950209162,0.8519288019342129,7.752379005525079e-05,38.97955974842768,0.012961954909139,14.015068134171909,88572,-0.08,0
384,1982-01-01,0.5659482498423121,23.540618448637318,36.718135188394896,0.8525776656318284,7.930784881071851e-05,35.99004192872117,0.011397107222465657,14.21920859538784,89831,-0.05,0
385,1982-02-01,0.5660969892815693,23.34460167714885,41.02353809917453,0.8540902036994226,7.820711716413479e-05,39.78577044025158,0.009500342072875137,14.219601677148844,89083,0.07,0
386,1982-03-01,0.5658040998529961,23.283542976939202,40.118483527551064,0.8488143767878752,7.798263757853809e-05,35.782232704402524,0.017059967304370056,14.149895178197065,88850,0.19,0
387,1982-04-01,0.5655205766347982,23.17348008385744,28.27640466161005,0.854066195759979,7.747073880562314e-05,37.424397274633115,0.0093180653178168,14.048087002096436,88430,0.47,0
388,1982-05-01,0.5662912560843123,23.237683438155138,31.16504760181836,0.8533763652125974,7.778899505300491e-05,38.772929769392036,0.0090598569019347,14.065251572327044,88675,0.66,1
389,1982-06-01,0.5658618131811299,23.176100628930822,36.649942774520895,0.8550077541985612,7.739603299052824e-05,36.7122641509434,0.008922983009609687,14.054376310272536,88440,0.72,1
390,1982-07-01,0.5669052063186132,23.45099580712788,24.970100373984852,0.8480482928716111,7.875442101284209e-05,37.616745283018865,0.008572497328007505,14.177410901467507,89489,0.79,1
391,1982-08-01,0.5661791936928314,23.48663522012579,24.670884023761626,0.8506494532114083,7.927091099998715e-05,36.91260482180294,0.008564262268062664,14.169418238993712,89625,1.07,1
392,1982-09-01,0.5683721285602309,23.91011530398323,26.48959237354419,0.8502407001064887,8.288447496420475e-05,29.71789832285115,0.00749728662308965,14.46409853249476,91241,1.58,1
393,1982-10-01,0.5713705966274253,24.946540880503143,44.47172448692811,0.8487774270893683,9.666948439403831e-05,34.26821278825996,0.012201451958186402,15.054376310272536,95196,1.97,1
394,1982-11-01,0.5959937717038907,26.758909853249477,25.772162338766595,0.8269833905050072,0.0001341977045629863,30.11569706498952,0.018442039590074944,16.210298742138363,102112,2.18,1
395,1982-12-01,0.6730563039515397,30.28118448637317,37.56151824855419,0.8107280677222476,0.00020898169771359232,30.42243186582809,0.026814620523909996,18.739124737945488,115553,2.23,1
396,1983-01-01,0.7956789033477358,32.95151991614256,48.606544954693526,0.7836217588597403,0.0002506362718372422,32.183831236897284,0.03400862166092216,21.532887840670856,125743,2.18,1
